Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Elec_10x10.5,1,680uF,C976031
"C10, C11, C9",0603,3,10uF,C15525
"C12, C13, C14, C15, C16, C3, C4",0805,7,100nF,C49678
C2,CP_Elec_8x6.5,1,220uF,C2895286
"C5, C6",0402,2,22pF,C1555
D1,D_SMA,1,SS54,C22452
F1,1210,1,1.5A,C369159
J1,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J10,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
J3,BarrelJack_Horizontal,1,Barrel_Jack_Switch,
J4,JST_ZH_B7B-ZR-SM4-TF_1x07-1MP_P1.50mm_Vertical,1,Conn_01x07,C265294
J6,JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical,1,Conn_01x02,C265284
J7,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,
J8,JST_ZH_B4B-ZR-SM4-TF_1x04-1MP_P1.50mm_Vertical,1,Conn_01x04,C265083
J9,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L1,L_12x12mm_H8mm,1,33uH,C9400
R1,0805,1,220,C17557
R2,2512,1,0.1,C160587
"R3, R4",0402,2,27,C25100
"R5, R6",0402,2,10k,C25744
SW1,SW_PUSH_6mm,1,SW_Push,
U1,TO-263-5_TabPin3,1,LM2596S-5,C347421
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,1,DRV8871DDAR,C75864
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,W25Q16JVSSIQ,C131025
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
